Abbreviation,Parent,Color,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Eastern Africa,Africa,#ffffff,957305,964722,972222,982856,985813,987753,990277,987105,977101,962270,940478,914175,885452,855488,826146,799929,774851,750335,730822,711435,690781,671061,654531,637182,622412,610948
Middle Africa,Africa,#ffffff,377833,388621,399777,410982,421599,431363,439801,446964,452455,456288,458455,459636,460260,460137,459472,458025,455855,452827,449112,444524,439812,434862,429743,424958,420318,415997
Southern Africa,Africa,#ffffff,57687,57052,56988,57590,58617,59807,60796,61766,62632,63612,64871,66331,67435,67740,67189,65349,62663,61744,57904,54475,54209,54657,53633,52535,52284,50371
Western Africa,Africa,#ffffff,938968,952509,967102,980184,992121,1002219,1009162,1013391,1015320,1014118,1008453,1002473,994258,984905,973308,960580,947002,934712,920978,908948,895160,881857,869057,856211,844906,832719
Caribbean,Americas,#ffffff,39221,38024,36914,35822,34715,33539,32468,31385,30429,29488,28686,27928,27246,26634,26118,25616,25122,24689,24201,30713,23163,22681,22124,21559,20983,20396
Central America,Americas,#ffffff,131594,126846,122289,117377,112920,108119,103520,99536,93820,89088,84820,80530,76544,72791,69419,66300,63619,61312,59133,57067,55314,53677,52043,50588,48977,47613
South America,Americas,#ffffff,325993,312012,297958,283252,268938,254614,240992,227205,214972,202290,190134,178992,168568,158853,149506,141274,133970,127687,121851,116507,111776,107168,102657,98781,94625,90983
Northern America,Americas,#ffffff,38630,37487,36189,34874,33822,32437,31441,30576,30147,29800,29604,29434,29662,29925,29746,29490,29095,28597,28049,26999,26349,25738,25242,24804,24463,24163
Central Asia,Asia,#ffffff,92374,91750,90449,88227,85029,81125,76854,72427,68099,64029,60490,57557,55286,53503,52271,51337,50559,49677,48654,47414,46005,44245,42469,40473,38380,36235
Eastern Asia,Asia,#ffffff,1066836,993909,913923,837719,766104,704905,651055,602904,559214,517992,481481,443916,410526,378657,348880,323011,300277,280685,262320,244993,228553,212781,196429,181243,167464,153355
South-eastern Asia,Asia,#ffffff,604507,580413,556608,534387,511971,492094,473517,457292,442248,428743,416142,404061,392428,386657,369313,357730,346493,339560,323870,313185,303141,293111,283510,273964,265097,256756
Southern Asia,Asia,#ffffff,3356884,3275362,3199037,3120499,3042103,2961342,2879663,2794350,2708297,2624809,2537939,2452647,2373629,2294305,2217963,2141716,2061354,1982103,1901587,1817571,1737268,1661100,1587607,1518115,1454888,1396997
Western Asia,Asia,#ffffff,223189,216445,209900,203396,197043,190693,183937,177169,170355,163720,157284,151390,146050,141095,136808,132874,129262,126011,123098,120931,119302,118176,116745,114908,112986,110890
Eastern Europe,Europe,#ffffff,70400,65785,61776,58033,54189,50754,47576,44753,42271,40214,38130,36522,35170,33668,32358,30989,29743,28784,27720,26842,25776,24805,23945,22934,21933,21042
Northern Europe,Europe,#ffffff,9391,8924,8290,7819,7347,6920,6685,6406,6145,5875,5700,5610,5571,5489,5369,5330,5276,5210,5072,4891,4711,4602,4388,4287,4198,4183
Southern Europe,Europe,#ffffff,18088,16965,15823,14648,13379,12226,11257,10445,9816,9300,8853,8406,7933,7587,7239,6898,6692,6398,6201,5879,5621,5414,5187,4965,4780,4570
Western Europe,Europe,#ffffff,14050,13271,12412,11569,10925,10306,9799,9479,9152,8932,8709,8449,8123,7932,7683,7453,7239,7105,7060,6873,6759,6577,6564,6450,6357,6270
Australia and New Zealand,Oceania,#ffffff,2334,2196,2075,1979,1897,1821,1744,1687,1645,1603,1571,1578,1572,1568,1575,1616,1595,1572,1563,1514,1490,1406,1375,1337,1274,1242
Melanesia,Oceania,#ffffff,10563,10617,10707,10828,10957,11108,11253,11374,11482,11581,11664,11737,11799,11859,11889,11870,11815,11702,11554,11408,11210,11025,10813,10641,10465,10223
Micronesia,Oceania,#ffffff,414,408,402,397,391,386,380,372,362,354,344,335,326,319,311,306,301,296,291,286,281,275,269,262,255,248
Polynesia,Oceania,#ffffff,199,192,186,180,174,170,165,160,155,150,146,142,139,139,136,135,136,134,139,132,131,128,124,121,117,112
Northern Africa,Africa,#ffffff,272152,262006,251753,241144,231097,221264,212429,204427,197472,191280,186269,181298,177098,173197,169924,167380,165221,163628,162472,161497,160633,159027,156889,154452,151135,147141
Americas,root,#ffffff,535438,514369,493350,471325,450395,428709,408421,388702,369368,350666,333244,316884,302020,288203,274789,262680,251806,242285,233234,231286,216602,209264,202066,195732,189048,183155
Asia,root,#ffffff,5343790,5157879,4969917,4784228,4602250,4430159,4265026,4104142,3948213,3799293,3653336,3509571,3377919,3254217,3125235,3006668,2887945,2778036,2659529,2544094,2434269,2329413,2226760,2128703,2038815,1954233
Europe,root,#ffffff,111929,104945,98301,92069,85840,80206,75317,71083,67384,64321,61392,58987,56797,54676,52649,50670,48950,47497,46053,44485,42867,41398,40084,38636,37268,36065
Oceania,root,#ffffff,13510,13413,13370,13384,13419,13485,13542,13593,13644,13688,13725,13792,13836,13885,13911,13927,13847,13704,13547,13340,13112,12834,12581,12361,12111,11825
Africa,root,#ffffff,2603945,2624910,2647842,2672756,2689247,2702406,2712465,2713653,2704980,2687568,2658526,2623913,2584503,2541467,2496039,2451263,2405592,2363246,2321288,2280879,2240595,2201464,2163853,2125338,2091055,2057176
ATA,root,#ffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia and New Zealand,#74c476,1839,1721,1622,1544,1487,1426,1364,1327,1293,1263,1241,1251,1246,1247,1253,1288,1267,1240,1235,1193,1176,1094,1071,1047,991,965
BRN,South-eastern Asia,#ae017e,79,80,80,79,78,76,74,72,71,68,68,66,65,63,61,60,58,57,57,57,57,57,58,58,57,57
KHM,South-eastern Asia,#ae017e,31820,31566,31406,31315,31127,30852,30360,29602,28442,26796,24748,22676,20919,19442,18277,17322,16442,15544,14616,13701,12773,11926,11176,10566,10060,9617
