Label,Parent,Color,Mean,sd
ESP,Southern Europe,#08519c,384206539,111045308.4
GRC,Southern Europe,#08519c,66010305.64,17602690.33
HRV,Southern Europe,#08519c,41451195.91,13013716.94
ITA,Southern Europe,#08519c,681257814.2,176903690.3
PRT,Southern Europe,#08519c,97478562,22590828.46
Southern Europe,Europe,#08519c,1292461246,340772773.3
SVN,Southern Europe,#08519c,22056829.64,5376653.388
CHE,Western Europe,#2171b5,179793472.9,41575111.05
DEU,Western Europe,#2171b5,1725802016,524900056
FRA,Western Europe,#2171b5,756221966.4,209170340.7
NLD,Western Europe,#2171b5,372547978,102883328.5
Western Europe,Europe,#2171b5,3034365433,853437374.7
DNK,Northern Europe,#4292c6,122834569.1,35867829.89
EST,Northern Europe,#4292c6,26536008,8367685.448
FIN,Northern Europe,#4292c6,154940091.1,55813595.84
GBR,Northern Europe,#4292c6,343734879.7,94160410.12
IRL,Northern Europe,#4292c6,19695755.82,5535387.568
LTU,Northern Europe,#4292c6,31132708.55,8071981.221
LVA,Northern Europe,#4292c6,19040087.82,5822011.708
NOR,Northern Europe,#4292c6,91226319.91,29343265.52
Northern Europe,Europe,#4292c6,1043431888,294807231.5
SWE,Northern Europe,#4292c6,234291468.3,80010283.82
BGR,Eastern Europe,#6baed6,15378560.45,8730950.802
CZE,Eastern Europe,#6baed6,56789068.09,19596769.29
Eastern Europe,Europe,#6baed6,440063048.6,111822314.1
HUN,Eastern Europe,#6baed6,53405000,13789047.14
POL,Eastern Europe,#6baed6,176195686.7,50570893.3
ROU,Eastern Europe,#6baed6,52788463.55,24146926.22
RUS,Eastern Europe,#6baed6,41536249.27,29456480.46
SVK,Eastern Europe,#6baed6,28054047.36,8984328.668
UKR,Eastern Europe,#6baed6,15915973.18,9635009.507
AUS,Australia and New Zealand,#74c476,175666460,49823209.6
Australia and New Zealand,Oceania,#74c476,195610151.6,55033956.01
NZL,Australia and New Zealand,#74c476,19943691.64,5423877.713
CHN,Eastern Asia,#7a0177,13687162.91,8940242.508
Eastern Asia,Asia,#7a0177,967283824,234813219.3
JPN,Eastern Asia,#7a0177,828824879.2,192190005.9
KOR,Eastern Asia,#7a0177,124771781.9,41490269.91
DZA,Northern Africa,#a50f15,119638602.6,30391864.18
EGY,Northern Africa,#a50f15,9493805.909,2974051.038
MAR,Northern Africa,#a50f15,37174257.36,9064535.361
Northern Africa,Africa,#a50f15,180472420.4,43527425.19
TUN,Northern Africa,#a50f15,14165754.45,4037020.038
IDN,South-eastern Asia,#ae017e,6672271,3829224.546
MYS,South-eastern Asia,#ae017e,27172188.55,10461657.41
PHL,South-eastern Asia,#ae017e,13151261,7613171.561
SGP,South-eastern Asia,#ae017e,34125327.64,14728953.5
South-eastern Asia,Asia,#ae017e,82125297.36,26847099.66
THA,South-eastern Asia,#ae017e,1004249.182,729433.641
IND,Southern Asia,#dd3497,8601164.273,11411936.23
Southern Asia,Asia,#dd3497,8601164.273,11411936.23
CAN,Northern America,#ec7014,457580371.5,97448102.69
Northern America,Americas,#ec7014,3068522974,771886808.6
USA,Northern America,#ec7014,2610942602,684349329.5
TUR,Western Asia,#fa9fb5,20556016.55,5912299.694
Western Asia,Asia,#fa9fb5,20556016.55,5912299.694
ARG,South America,#fe9929,57333881.18,28114395.43
CHL,South America,#fe9929,20260944.91,5800966.019
COL,South America,#fe9929,6384346.909,9571042.297
South America,Americas,#fe9929,83979173,32578448.16
Central America,Americas,#fec44f,13139237.55,5922217.379
MEX,Central America,#fec44f,13139237.55,5922217.379
Africa,root,#ffffff,180472420.4,43527425.19
Americas,root,#ffffff,3165641385,803101642.6
Asia,root,#ffffff,1078566302,264715366.2
Europe,root,#ffffff,5810321617,1574408158
Oceania,root,#ffffff,195610151.6,55033956.01
