id,parent,size,sd
Beer at employer,Beer and ale,0.01,0.01
Other alcohol at employer,Other alcoholic beverages,0.01,0.01
Adult diapers,Medical supplies,0.01,0.01
Digital media players and recorders,Audio and visual equipment and services,0.01,0.01
Marijuana,Tobacco products and smoking supplies,0.01,0.01
Miscellaneous sound equipment,Audio and visual equipment and services,0.23,0.18
Repair of miscellaneous household equipment and,Other household expenses,0.03,0.02
Men''s sportcoats; tailored jackets,Men; 16 and over,0.03,0.02
Miscellaneous household appliances,Major appliances,0.23,0.15
Photographic equipment; supplies and services,Other entertainment supplies; equipment; and services,0.67,0.39
Photographer fees,Photographic equipment; supplies and services,0.67,0.39
Miscellaneous fees,Miscellaneous,0.07,0.04
Global positioning system devices,Sports; recreation and exercise equipment,0.11,0.06
Canned ham,Ham,0.02,0.01
Beer and ale at vending machines and mobile vendors,Beer and ale,0.02,0.01
Video game software,Audio and visual equipment and services,0.06,0.03
Souvenirs,Other entertainment supplies; equipment; and services,0.02,0.01
Visual goods,Other entertainment supplies; equipment; and services,0.02,0.01
Reading,Average weekly expenditures:,0.04,0.02
Digital book readers,Reading,0.04,0.02
Other hardware,Miscellaneous household equipment,0.24,0.1
Sound equipment accessories,Audio and visual equipment and services,0.36,0.15
Watches,Other apparel products and services,1.09,0.44
Mutton; goat and game,Lamb; organ meats and others,0.05,0.02
Boys'' suits; sportcoats; vests,Boys; 2 to 15,0.05,0.02
Fireworks,Other entertainment supplies; equipment; and services,0.1,0.04
Diesel fuel,Gasoline and diesel fuel,0.76,0.29
Men''s uniforms,Men; 16 and over,0.03,0.01
Women''s sportcoats; tailored jackets,Women; 16 and over,0.03,0.01
Slipcovers; decorative pillows,Household textiles,0.1,0.03
Major appliances,Household furnishings and equipment,0.6,0.18
Luggage,Miscellaneous household equipment,0.31,0.09
Women''s uniforms,Women; 16 and over,0.07,0.02
Other apparel products and services,Apparel and services,1.61,0.45
Coal,Fuel oil and other fuels,0.11,0.03
Floor coverings,Household furnishings and equipment,0.88,0.23
Room size rugs and other floor covering; nonpermanen,Floor coverings,0.88,0.23
Stereos; radios; speakers; and sound components,Audio and visual equipment and services,0.23,0.06
Tobacco products and smoking supplies,Average weekly expenditures:,0.23,0.06
Furniture,Household furnishings and equipment,0.7,0.18
Outdoor furniture,Furniture,0.7,0.18
Miscellaneous personal services,Miscellaneous,1.05,0.27
Wine at fast food; take-out; delivery; concession,Wine,0.04,0.01
Delivery services,Postage and stationery,0.08,0.02
Lawn and garden equipment,Miscellaneous household equipment,1.16,0.29
Boys'' nightwear,Boys; 2 to 15,0.08,0.02
Pinball; electronic video games,Other entertainment supplies; equipment; and services,0.04,0.01
Gas tank repair; replacement,Maintenance and repairs,0.61,0.15
Fees for recreational lessons,Fees and admissions,1.89,0.43
Hunting and fishing equipment,Sports; recreation and exercise equipment,0.67,0.15
Boys'' accessories,Boys; 2 to 15,0.09,0.02
Girls'' accessories,Girls; 2 to 15,0.09,0.02
Electric personal care appliances,Personal care products,0.18,0.04
Bottled and tank gas,Fuel oil and other fuels,2.08,0.46
Electric floor cleaning equipment,Major appliances,0.37,0.08
Camping equipment,Sports; recreation and exercise equipment,0.28,0.06
Women''s coats and jackets,Women; 16 and over,0.82,0.17
Small appliances,Small appliances; miscellaneous housewares,0.25,0.05
Portable heating and cooling equipment,Small appliances,0.25,0.05
Frozen fruit juices,Frozen fruits and fruit juices,0.05,0.01
Fuel oil,Fuel oil and other fuels,1.92,0.38
Infants'' equipment,Miscellaneous household equipment,0.26,0.05
Video game hardware and accessories,Audio and visual equipment and services,0.92,0.17
Women''s skirts,Women; 16 and over,0.22,0.04
Smoking accessories,Tobacco products and smoking supplies,0.22,0.04
Vehicle products and cleaning services,Maintenance and repairs,0.17,0.03
Athletic gear; game tables; and exercise equipment,Sports; recreation and exercise equipment,0.94,0.16
Fees for participant sports,Fees and admissions,2.01,0.34
Miscellaneous,Average weekly expenditures:,1.97,0.33
Dinner at employer and school cafeterias,Dinner,0.12,0.02
Other alcoholic beverages at fast food; take-out;,Other alcoholic beverages,0.06,0.01
Lotteries and pari-mutuel losses,Miscellaneous,0.84,0.14
Outdoor equipment,Miscellaneous household equipment,0.49,0.08
Closet and storage items,Miscellaneous household equipment,0.25,0.04
Other entertainment supplies; equipment; and services,Entertainment,2.84,0.45
Lamps; lighting fixtures; ceiling fans,Miscellaneous household equipment,0.57,0.09
Whiskey,At home,0.19,0.03
Girls'' active sportswear,Girls; 2 to 15,0.19,0.03
Kitchen; dining room; other linens,Household textiles,0.13,0.02
