Label,Parent,Color,Mean,sd
Americas,root,#ffffff,320886.19401592517,107948.60082768039
Caribbean,Americas,#ffffff,28456.308339914474,5423.819774494961
ATG,Caribbean,#fee391,18.57698102069654,6.879032654907798
BHS,Caribbean,#fee391,73.73081891195052,18.688859374521506
BRB,Caribbean,#fee391,49.2692780042543,5.612882072046832
CUB,Caribbean,#fee391,891.2308145880696,355.8725339391351
DMA,Caribbean,#fee391,20.11543440688191,5.852852813821605
DOM,Caribbean,#fee391,7019.230814142473,1111.640823814593
GRD,Caribbean,#fee391,29.423125574203638,5.7256084927109905
HTI,Caribbean,#fee391,18816.692355528285,3660.7784783206516
JAM,Caribbean,#fee391,995.8846709129847,258.1197271353448
KNA,Caribbean,#fee391,13.807752154741463,5.378155930629617
LCA,Caribbean,#fee391,41.92312436327373,13.60407158922511
VCT,Caribbean,#fee391,39.57697522500815,7.022895682853586
TTO,Caribbean,#fee391,446.8461950816484,77.15303781835392
Central America,Americas,#ffffff,80956.00038800549,26331.664355726945
BLZ,Central America,#fec44f,142.34619939225126,25.48444340990615
CRI,Central America,#fec44f,788.8077445029135,194.33159456272764
SLV,Central America,#fec44f,3568.8077400190177,1778.1070867304782
GTM,Central America,#fec44f,15042.884651310365,3489.890173719957
HND,Central America,#fec44f,5634.115436711877,1684.9135908008245
MEX,Central America,#fec44f,50312.26928717251,17500.560104246146
NIC,Central America,#fec44f,4043.7308109488968,1591.6310022704217
PAN,Central America,#fec44f,1423.03851794767,164.16256328007452
South America,Americas,#ffffff,181598.385186685,72728.38408148711
ARG,South America,#fe9929,11890.269269508233,3001.8052078571736
BOL,South America,#fe9929,13054.307736703799,4017.4175679178447
BRA,South America,#fe9929,96490.92313049392,46734.94032963484
CHL,South America,#fe9929,2377.653893831798,715.2527801789752
COL,South America,#fe9929,16480.730823881015,4575.805510487667
ECU,South America,#fe9929,8557.884667197915,2051.7717981855963
GUY,South America,#fe9929,648.6154312850164,173.27481103153644
PRY,South America,#fe9929,3607.6923497911603,851.1892410260502
PER,South America,#fe9929,17078.00004302071,8710.943929992596
SUR,South America,#fe9929,292.15389267429964,78.96284623842526
URY,South America,#fe9929,713.8462077069112,254.56987112420742
VEN,South America,#fe9929,10406.307740590299,1740.6302345518136
Northern America,Americas,#ffffff,29875.500101320133,3810.850081711802
CAN,Northern America,#ec7014,1917.0769707720656,237.16124381591942
USA,Northern America,#ec7014,27958.42313054806,3602.0164328670203
Asia,root,#ffffff,3435140.002427806,1013378.9856274623
Central Asia,Asia,#ffffff,60958.38487417681,17761.642624431868
KAZ,Central Asia,#f768a1,9057.846199792493,3382.3315869247385
KGZ,Central Asia,#f768a1,4497.230821009567,1331.8694244872183
TJK,Central Asia,#f768a1,12999.884663128261,3568.4206882604794
TKM,Central Asia,#f768a1,7173.615438864429,920.3289893862985
UZB,Central Asia,#f768a1,27229.807751382068,8774.916621532897
Eastern Asia,Asia,#ffffff,470351.2310307032,266630.4118991503
CHN,Eastern Asia,#7a0177,447532.61544088426,257090.8688649775
JPN,Eastern Asia,#7a0177,3563.07697244265,1135.8836544562596
PRK,Eastern Asia,#7a0177,13472.038507438141,6271.77652582342
KOR,Eastern Asia,#7a0177,3506.846209632526,2222.6823947156827
MNG,Eastern Asia,#7a0177,2276.6539003055996,1114.7078652219545
South-eastern Asia,Asia,#ffffff,400261.4620689974,100257.77723271205
BRN,South-eastern Asia,#ae017e,65.88466495779966,8.630560059172865
KHM,South-eastern Asia,#ae017e,21272.730812620513,8041.061692726519
IDN,South-eastern Asia,#ae017e,176764.88466139633,46087.30367978153
LAO,South-eastern Asia,#ae017e,12885.923116269014,3731.728422266441
MYS,South-eastern Asia,#ae017e,4389.115436766205,1301.0889878255637
MMR,South-eastern Asia,#ae017e,63715.80774253964,15032.327274855681
PHL,South-eastern Asia,#ae017e,64739.230822970465,7751.965911055408
SGP,South-eastern Asia,#ae017e,152.96159352234238,60.9062816552829
THA,South-eastern Asia,#ae017e,16391.000036533784,7138.610743726583
TLS,South-eastern Asia,#ae017e,2959.5769720227186,821.8629082315963
VNM,South-eastern Asia,#ae017e,36924.34620939862,12668.462615237306
Southern Asia,Asia,#ffffff,2349966.731252167,600178.4300237782
IRN,Southern Asia,#dd3497,35067.846212935234,16389.684508828224
AFG,Southern Asia,#dd3497,78299.53850831267,8351.293365093115
BGD,Southern Asia,#dd3497,200445.61544093594,81231.00578591415
BTN,Southern Asia,#dd3497,851.0000463570839,387.77421345010794
IND,Southern Asia,#dd3497,1605365.5385157359,454403.53141925484
MDV,Southern Asia,#dd3497,216.1538999289141,163.92018408614734
NPL,Southern Asia,#dd3497,38650.23082790602,16350.978085873405
PAK,Southern Asia,#dd3497,386514.65390166297,30000.056634066448
LKA,Southern Asia,#dd3497,4556.153898391437,1213.7526208012996
