id,parent,Color,size,sd
SP500,root,#86B0D4,43133.33333,132.6951393
Financials,SP500,#86B0D4,4158.166667,83.04817879
Life & Health Insurance,Financials,#86B0D4,364.5,5.744562647
PRU,Life & Health Insurance,#86B0D4,89.5,4.218522391
UNM,Life & Health Insurance,#86B0D4,37,1.676513608
MET,Life & Health Insurance,#86B0D4,48.5,2.605996617
TMK,Life & Health Insurance,#86B0D4,65.16666667,2.216597474
AFL,Life & Health Insurance,#86B0D4,69.83333333,1.709186252
PFG,Life & Health Insurance,#86B0D4,54.5,1.696206203
Consumer Finance,Financials,#86B0D4,264,4.123105626
COF,Consumer Finance,#86B0D4,74.33333333,2.44630858
SYF,Consumer Finance,#86B0D4,29,1.275924874
DFS,Consumer Finance,#86B0D4,58.16666667,2.709179389
HRB,Consumer Finance,#86B0D4,21.66666667,0.398448643
NAVI,Consumer Finance,#86B0D4,13.83333333,1.507333923
AXP,Consumer Finance,#86B0D4,67,1.71821548
Investment Banking & Brokerage,Financials,#86B0D4,279.1666667,9.433981132
SCHW,Investment Banking & Brokerage,#86B0D4,32.16666667,1.563563495
GS,Investment Banking & Brokerage,#86B0D4,184.1666667,9.07570906
MS,Investment Banking & Brokerage,#86B0D4,34.33333333,1.969431714
ETFC,Investment Banking & Brokerage,#86B0D4,28.5,1.494054986
Multi-Sector Holdings,Financials,#86B0D4,18.33333333,0
LUK,Multi-Sector Holdings,#86B0D4,18.33333333,0.981973872
Multi-line Insurance,Financials,#86B0D4,175.8333333,3.464101615
LNC,Multi-line Insurance,#86B0D4,53.5,3.266266916
L,Multi-line Insurance,#86B0D4,41.83333333,0.923038088
AIZ,Multi-line Insurance,#86B0D4,80.5,1.431565296
Asset Management & Custody Banks,Financials,#86B0D4,905,15.87450787
BEN,Asset Management & Custody Banks,#86B0D4,34.83333333,2.079897241
NTRS,Asset Management & Custody Banks,#86B0D4,74.33333333,2.401067589
IVZ,Asset Management & Custody Banks,#86B0D4,28.5,1.266267397
AMP,Asset Management & Custody Banks,#86B0D4,94.33333333,8.293374512
BLK,Asset Management & Custody Banks,#86B0D4,355.8333333,11.30481442
TROW,Asset Management & Custody Banks,#86B0D4,65.16666667,2.688385333
STT,Asset Management & Custody Banks,#86B0D4,72.5,2.462282216
BK,Asset Management & Custody Banks,#86B0D4,43.83333333,1.287290009
AMG,Asset Management & Custody Banks,#86B0D4,135.6666667,5.779884681
Regional Banks,Financials,#86B0D4,424.5,6.782329983
STI,Regional Banks,#86B0D4,46,1.927494373
RF,Regional Banks,#86B0D4,10.5,0.843573747
MTB,Regional Banks,#86B0D4,125.8333333,4.686230795
PNC,Regional Banks,#86B0D4,97.66666667,4.110251893
CFG,Regional Banks,#86B0D4,27,1.23868225
KEY,Regional Banks,#86B0D4,14.16666667,0.818616719
ZION,Regional Banks,#86B0D4,32.66666667,1.974893043
HBAN,Regional Banks,#86B0D4,10.16666667,0.670969448
FITB,Regional Banks,#86B0D4,21.5,1.110037798
BBT,Regional Banks,#86B0D4,39,1.250406285
Property & Casualty Insurance,Financials,#86B0D4,538,3.31662479
XL,Property & Casualty Insurance,#86B0D4,35.66666667,1.341090192
AIG,Property & Casualty Insurance,#86B0D4,59.33333333,1.9503967
CINF,Property & Casualty Insurance,#86B0D4,69.33333333,1.118252178
HIG,Property & Casualty Insurance,#86B0D4,44.16666667,1.1858281
PGR,Property & Casualty Insurance,#86B0D4,31.5,0.706387693
TRV,Property & Casualty Insurance,#86B0D4,106.1666667,1.780060923
ALL,Property & Casualty Insurance,#86B0D4,67.33333333,1.033914625
CB,Property & Casualty Insurance,#86B0D4,124.5,1.181318678
Insurance Brokers,Financials,#86B0D4,342.1666667,3.605551275
MMC,Insurance Brokers,#86B0D4,64.83333333,1.621396572
AJG,Insurance Brokers,#86B0D4,48.33333333,1.429011779
WLTW,Insurance Brokers,#86B0D4,119,2.588125463
AON,Insurance Brokers,#86B0D4,110,1.920138073
Diversified Banks,Financials,#86B0D4,280.1666667,4.898979486
C,Diversified Banks,#86B0D4,49.66666667,1.989655895
BAC,Diversified Banks,#86B0D4,16.83333333,0.937031213
USB,Diversified Banks,#86B0D4,44.66666667,1.51447817
JPM,Diversified Banks,#86B0D4,70.5,3.108920794
WFC,Diversified Banks,#86B0D4,46.16666667,2.493019817
CMA,Diversified Banks,#86B0D4,52.33333333,2.206218928
Thrifts & Mortgage Finance,Financials,#86B0D4,16.33333333,0
PBCT,Thrifts & Mortgage Finance,#86B0D4,16.33333333,0.836484364
Financial Exchanges & Data,Financials,#86B0D4,550.1666667,80
CME,Financial Exchanges & Data,#86B0D4,107.1666667,5.2426995
ICE,Financial Exchanges & Data,#86B0D4,90.66666667,79.78944657
MCO,Financial Exchanges & Data,#86B0D4,98.83333333,1.21149272
NDAQ,Financial Exchanges & Data,#86B0D4,65.16666667,1.171102212
SPGI,Financial Exchanges & Data,#86B0D4,124.3333333,1.717163531
CBOE,Financial Exchanges & Data,#86B0D4,64,1.811256214
Utilities,SP500,#86B0D4,1548.166667,6.633249581
Multi-Utilities,Utilities,#BB80BC,778.8333333,5.567764363
SRE,Multi-Utilities,#BB80BC,101,2.515491853
CNP,Multi-Utilities,#BB80BC,22.66666667,0.653546335
NEE,Multi-Utilities,#BB80BC,121.1666667,3.878134496
NI,Multi-Utilities,#BB80BC,21.66666667,0.563766721
AEE,Multi-Utilities,#BB80BC,49.16666667,1.211326354
SCG,Multi-Utilities,#BB80BC,70.66666667,1.468438632
EXC,Multi-Utilities,#BB80BC,32,1.234064272
CMS,Multi-Utilities,#BB80BC,40.33333333,1.016600515
XEL,Multi-Utilities,#BB80BC,39.83333333,1.069971734
PCG,Multi-Utilities,#BB80BC,59.83333333,1.186884394
PNW,Multi-Utilities,#BB80BC,73.83333333,1.031993907
ES,Multi-Utilities,#BB80BC,53.33333333,0.896006443
DTE,Multi-Utilities,#BB80BC,93.33333333,1.681744258
Independent Power Producers & Energy Traders,Utilities,#BB80BC,22.66666667,0
NRG,Independent Power Producers & Energy Traders,#BB80BC,11,0.604000552
AES,Independent Power Producers & Energy Traders,#BB80BC,11.66666667,0.499210488
Water Utilities,Utilities,#BB80BC,71.33333333,0
AWK,Water Utilities,#BB80BC,71.33333333,0.734676356
Electric Utilities,Utilities,#BB80BC,675.3333333,3.741657387
ETR,Electric Utilities,#BB80BC,69.66666667,1.625332895
WEC,Electric Utilities,#BB80BC,57.16666667,1.334035247
LNT,Electric Utilities,#BB80BC,36.5,1.126802105
SO,Electric Utilities,#BB80BC,49.33333333,1.114252934
PPL,Electric Utilities,#BB80BC,33.66666667,0.653494793
PEG,Electric Utilities,#BB80BC,40.5,0.905198094
EIX,Electric Utilities,#BB80BC,70.33333333,1.173144383
D,Electric Utilities,#BB80BC,73.33333333,1.456421372
DUK,Electric Utilities,#BB80BC,77.33333333,1.513304991
AEP,Electric Utilities,#BB80BC,61.66666667,1.348682269
FE,Electric Utilities,#BB80BC,33,1.017325132
ED,Electric Utilities,#BB80BC,72.83333333,1.632156485
Consumer Discretionary,SP500,#8DD2C6,8859.5,68.05145112
